,model,dataset,over,under,exact,sum,total
0,ARIMA,beijing-multisite-airquality,5176,5297,39,10512,10512
1,LSTM,beijing-multisite-airquality,5710,4802,0,10512,10512
2,GRU,beijing-multisite-airquality,6569,3943,0,10512,10512
3,Bi-LSTM,beijing-multisite-airquality,5595,4917,0,10512,10512
4,Attention-LSTM,beijing-multisite-airquality,7186,3326,0,10512,10512
5,CNN-LSTM,beijing-multisite-airquality,5607,4905,0,10512,10512
6,SVD-LSTM,beijing-multisite-airquality,2792,7720,0,10512,10512
7,GCN-LSTM,beijing-multisite-airquality,3841,6671,0,10512,10512
8,GraphWaveNet,beijing-multisite-airquality,5834,4678,0,10512,10512
9,MTGNN,beijing-multisite-airquality,5371,5141,0,10512,10512
10,Triformer,beijing-multisite-airquality,5019,5493,0,10512,10512
11,RGSL,beijing-multisite-airquality,5678,4834,0,10512,10512
12,ESG,beijing-multisite-airquality,5408,5104,0,10512,10512
13,GAP-LSTM-Default,beijing-multisite-airquality,4980,5532,0,10512,10512
14,GAP-LSTM-Weighted,beijing-multisite-airquality,5472,5040,0,10512,10512
15,ARIMA,lightsource,2951,1837,0,4788,4788
16,LSTM,lightsource,2778,2010,0,4788,4788
17,GRU,lightsource,2367,2421,0,4788,4788
18,Bi-LSTM,lightsource,2283,2505,0,4788,4788
19,Attention-LSTM,lightsource,2328,2460,0,4788,4788
20,CNN-LSTM,lightsource,3148,1640,0,4788,4788
21,SVD-LSTM,lightsource,3036,1752,0,4788,4788
22,GCN-LSTM,lightsource,2393,2395,0,4788,4788
23,GraphWaveNet,lightsource,2393,2395,0,4788,4788
24,MTGNN,lightsource,2370,2418,0,4788,4788
25,Triformer,lightsource,2308,2480,0,4788,4788
26,RGSL,lightsource,2421,2367,0,4788,4788
27,ESG,lightsource,2314,2474,0,4788,4788
28,GAP-LSTM-Default,lightsource,2698,2090,0,4788,4788
29,GAP-LSTM-Weighted,lightsource,2294,2494,0,4788,4788
30,LSTM,pems-sf-weather,18265,24767,0,43032,43032
31,GRU,pems-sf-weather,21908,21124,0,43032,43032
32,Bi-LSTM,pems-sf-weather,22711,20321,0,43032,43032
33,Attention-LSTM,pems-sf-weather,18416,24616,0,43032,43032
34,CNN-LSTM,pems-sf-weather,20735,22297,0,43032,43032
35,SVD-LSTM,pems-sf-weather,20780,22252,0,43032,43032
36,GCN-LSTM,pems-sf-weather,23104,19928,0,43032,43032
37,GraphWaveNet,pems-sf-weather,18548,24484,0,43032,43032
38,MTGNN,pems-sf-weather,20399,22633,0,43032,43032
39,Triformer,pems-sf-weather,21626,21406,0,43032,43032
40,RGSL,pems-sf-weather,24070,18962,0,43032,43032
41,ESG,pems-sf-weather,21449,21583,0,43032,43032
42,GAP-LSTM-Default,pems-sf-weather,20417,22615,0,43032,43032
43,GAP-LSTM-Weighted,pems-sf-weather,20015,23017,0,43032,43032
44,ARIMA,pv-italy,16427,11028,0,27455,27455
45,LSTM,pv-italy,13463,13992,0,27455,27455
46,GRU,pv-italy,9429,18026,0,27455,27455
47,Bi-LSTM,pv-italy,13038,14416,1,27455,27455
48,Attention-LSTM,pv-italy,13851,13604,0,27455,27455
49,CNN-LSTM,pv-italy,18556,8899,0,27455,27455
50,SVD-LSTM,pv-italy,13973,13482,0,27455,27455
51,GCN-LSTM,pv-italy,13052,14403,0,27455,27455
52,GraphWaveNet,pv-italy,14749,12706,0,27455,27455
53,MTGNN,pv-italy,14798,12657,0,27455,27455
54,Triformer,pv-italy,13640,13815,0,27455,27455
55,RGSL,pv-italy,12880,14575,0,27455,27455
56,ESG,pv-italy,13550,13905,0,27455,27455
57,GAP-LSTM-Default,pv-italy,13786,13669,0,27455,27455
58,GAP-LSTM-Weighted,pv-italy,17157,10298,0,27455,27455
59,ARIMA,wind-nrel,4677,4083,0,8760,8760
60,LSTM,wind-nrel,4174,4586,0,8760,8760
61,GRU,wind-nrel,4815,3945,0,8760,8760
62,Bi-LSTM,wind-nrel,4437,4323,0,8760,8760
63,Attention-LSTM,wind-nrel,4430,4330,0,8760,8760
64,CNN-LSTM,wind-nrel,4115,4645,0,8760,8760
65,SVD-LSTM,wind-nrel,4539,4221,0,8760,8760
66,GCN-LSTM,wind-nrel,3251,5509,0,8760,8760
67,GraphWaveNet,wind-nrel,4612,4148,0,8760,8760
68,MTGNN,wind-nrel,4478,4282,0,8760,8760
69,Triformer,wind-nrel,4220,4540,0,8760,8760
70,RGSL,wind-nrel,4467,4293,0,8760,8760
71,ESG,wind-nrel,4380,4380,0,8760,8760
72,GAP-LSTM-Default,wind-nrel,4295,4465,0,8760,8760
73,GAP-LSTM-Weighted,wind-nrel,4748,4012,0,8760,8760
